post_title,ID,regular_price,sale_price,product_url,tax:pwb-brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_color,attribute_data:pa_color
"Resina Prizma 3D Model 2.0 Arena 500g",16759,350,300,,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Resina Prizma 3D Bio Ortho IBT 250g",16760,400,360,,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Resina Prizma 3D Bio Denture Transparente 500g",16763,800,700,,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Resina Prizma 3D Bio Denture A1 250g",16770,400,320,,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Resina Prizma 3D Bio Denture Rosa Medio 250g",16774,400,320,,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Isoprizma 3D Aislante para modelos de Resina 100ml",16776,120,95,,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas|Resinas > Biocompatible",,,,
"Resina Prizma 3D Bio Prov B1 250g",16781,500,420,,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Resina Prizma 3D Bio Prov A1 250g",16782,500,420,,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Resina Prizma 3D Bio Prov A2 250g",16783,500,420,,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Resina Prizma 3D Bio Prov A3 250g",16784,500,420,,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Resina Prizma 3D Bio Crown A1 250g",16785,1000,920,,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Resina Prizma 3D Bio Crown A2 250g",16787,1000,920,,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Prizma 3D Glaze de Superficies 20ml",16789,200,170,,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas|Resinas > Biocompatible",,,,
"Resina Prizma 3D Bio Guide 500g",16794,600,515,,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas","Resina Prizma 3D Bio Guide 500g",,,
"Resina Prizma 3D Bio Splint 1Kg",16795,1100,990,,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas|Resinas > Biocompatible",,,,
"Resina Shining 3D Dental Model DM12 1Kg",17468,800,700,,"Shining 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas","Resina Shining 3D Dental Model DM12 1Kg",,,
