post_title,weight,tax:pwb-brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_color,attribute_data:pa_color
"Papel Transfer para Corte Láser X10",0.5,"Krear 3D",simple,,"Upgrades > Materiales|Upgrades",,,,
"Cartulina Escarchada A4 X10",0.5,"Krear 3D",simple,,"Upgrades > Materiales|Upgrades",,,,
"Tarjeta Micro SD 8GB",0.1,"Krear 3D",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Tarjeta SD 8GB",0.1,"Krear 3D",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Papel Gradiente de Colores para Grabado Láser X10",0.5,"Krear 3D",simple,,"Upgrades > Materiales|Upgrades",,,,
"Lector de Tarjetas SD",0.1,"Krear 3D",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Módulo Láser de 20W para TTC450",4,"Two Trees",simple,,"Upgrades|Upgrades > Accesorios",,,,
"AnkerMake M5",24,AnkerMake,simple,,"Características|Características > Cartesiana|Características > Alta Velocidad|Impresoras 3D|Impresoras 3D > Filamento","Creality Ender 3",,,
"AnkerMake M5C",24,AnkerMake,simple,,"Características|Características > Cartesiana|Características > Alta Velocidad|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento","Creality Ender 3",,,
"Rueda en V AnkerMake",0.1,AnkerMake,simple,,"Repuestos|Repuestos > Plataformas",,,,
"Base Magnética PEI M5",1.5,AnkerMake,simple,,"Upgrades|Upgrades > PEIs",,,,
"Base Magnética PEI M5C",1.5,AnkerMake,simple,,"Upgrades|Upgrades > PEIs",,,,
"Protector de Silicona M5",0.1,AnkerMake,simple,,"Repuestos|Repuestos > Hotends",,,,
"Protector de Silicona M5C",0.1,AnkerMake,simple,,"Repuestos|Repuestos > Hotends",,,,
"Boquilla AnkerMake 0.4mm",0.01,AnkerMake,simple,,"Repuestos|Repuestos > Boquillas","Boquilla MK8|Boquilla MK8 de 1.0 mm",,,
"Boquilla AnkerMake 0.2mm",0.01,AnkerMake,simple,,"Repuestos|Repuestos > Boquillas","Boquilla MK8|Boquilla MK8 de 1.0 mm",,,
"Boquilla AnkerMake 0.6mm",0.01,AnkerMake,simple,,"Repuestos|Repuestos > Boquillas","Boquilla MK8|Boquilla MK8 de 1.0 mm",,,
"Kit HotEnd M5",0.5,AnkerMake,simple,,"Repuestos|Repuestos > Hotends",,,,
"Hotend Completo M5C",1.5,AnkerMake,simple,,"Repuestos|Repuestos > Hotends",,,,
"3DMakerpro Seal",6,3DMakerPro,simple,,"Escáneres 3D|Escáneres 3D > Luz Estructurada","Creality CR-Scan Ferret",,,
"3DMakerpro Seal Lite",6,3DMakerPro,simple,,"Escáneres 3D|Escáneres 3D > Luz Estructurada","Creality CR-Scan Ferret",,,
"3DMakerpro Mole Premium",6,3DMakerPro,simple,,"Escáneres 3D|Escáneres 3D > Luz Estructurada","Creality CR-Scan Ferret",,,
"3DMakerpro Whale Premium",20,3DMakerPro,simple,,"Escáneres 3D|Escáneres 3D > Luz Estructurada","Creality CR-Scan Ferret",,,
"Pintura GC Blanco Calavera 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Piel de Elfos 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Amarillo Soleado 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Naranja Fuego 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Rojo Sanguina 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Rojo Visceral 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Rosa Pulpo 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Azul Negro 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Azul Ultramar 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Verde Malicioso 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Verde Asqueroso 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Verde Goblin 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Verde Camuflaje 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Blanco Hueso 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Carne Muerta 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Bronceado 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Gris Lobo 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Gris Muralla 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Gris Neutral 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Oro Glorioso 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Bronce Pulido 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Hojalata 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Caqui 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Tierra 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Tinta Rojo 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Tinta Violeta 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Tinta Azul 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Tinta Negro 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Azul Glaciar 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Carne Rosa 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Blanco Sucio 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Verde Fluorescente 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Halcon Milenario 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Púrpura Hechicero 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Púrpura 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Amarillo Fluorescente 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Gris Cálido 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Púrpura Real 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Azul Eléctrico 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Azul Mágico 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Verde Caimán 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Verdín 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Marrón Carbonizado 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Verde Escorpena 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Tinta Verde 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Tinta Piel 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Amarillo Dorado 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Pintura GC Marrón Bichos 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Set de pinceles finos Toray (0, 1, 2)",0.5,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Set de pinceles Toray (4/0, 3/0, 2/0)",0.5,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Soporte de Filamento",0.5,"Krear 3D",simple,,"Upgrades|Upgrades > Accesorios","Kit de Pinturas Acrílicas Anycubic",,,
"Boquilla CR-10 Max 0.8mm",0.01,Creality,simple,,"Repuestos|Repuestos > Boquillas",,,,
"Boquilla CR-10 Max 0.4mm",0.01,Creality,simple,,"Repuestos|Repuestos > Boquillas",,,,
"Kit de Aerógrafo con Compresor de Aire",3,"Krear 3D",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Prusament PETG Anaranjado 1.75MM 1KG",1.5,"Prusa Research",simple,,"Filamentos|Filamentos > PETG","Esun|PLA Matte",,Blanco,0|1|0
"Base Magnética PEI Texturizada Dual Prusa Original",1.5,"Prusa Research",simple,,"Upgrades|Upgrades > PEIs","Plataforma Magnetica Flexible|Plataforma Magnetica Flexible 235x235mm",,,
"Tanque de Resina Anycubic Photon Mono 2",1,Anycubic,simple,,"Repuestos|Repuestos > Tanques",,,,
"Boquilla V6 0.4mm",0.1,"Krear 3D",simple,,"Repuestos|Repuestos > Boquillas",Boquilla|V6,,,
"Flux Ador 10W",55,Flux,simple,,"Cortadoras Láser|Cortadoras Láser > Diodo","Beambox Pro 50W|cortadora láser|Flux|Flux Beambox Pro 50W|Grabadora LA|grabadora y cortadora láser",,,
"Flux Ador 20W",55,Flux,simple,,"Cortadoras Láser|Cortadoras Láser > Diodo","Beambox Pro 50W|cortadora láser|Flux|Flux Beambox Pro 50W|Grabadora LA|grabadora y cortadora láser",,,
"Módulo Infrarrojo 2W Flux Ador",5,Flux,simple,,"Cortadoras Láser|Cortadoras Láser > CO2","Beambox Pro 50W|cortadora láser|Flux|Flux Beambox Pro 50W|Grabadora LA|grabadora y cortadora láser",,,
"Módulo de Impresión Flux Ador",5,Flux,simple,,"Cortadoras Láser|Cortadoras Láser > CO2","Beambox Pro 50W|cortadora láser|Flux|Flux Beambox Pro 50W|Grabadora LA|grabadora y cortadora láser",,,
"Tinta Solvente Cian Flux Ador",1.5,Flux,simple,,"Cortadoras Láser|Cortadoras Láser > CO2","Beambox Pro 50W|cortadora láser|Flux|Flux Beambox Pro 50W|Grabadora LA|grabadora y cortadora láser",,,
"Tinta Solvente Magenta Flux Ador",1.5,Flux,simple,,"Cortadoras Láser|Cortadoras Láser > CO2","Beambox Pro 50W|cortadora láser|Flux|Flux Beambox Pro 50W|Grabadora LA|grabadora y cortadora láser",,,
"Tinta Solvente Amarilla Flux Ador",1.5,Flux,simple,,"Cortadoras Láser|Cortadoras Láser > CO2","Beambox Pro 50W|cortadora láser|Flux|Flux Beambox Pro 50W|Grabadora LA|grabadora y cortadora láser",,,
"Tinta Solvente Negra Flux Ador",1.5,Flux,simple,,"Cortadoras Láser|Cortadoras Láser > CO2","Beambox Pro 50W|cortadora láser|Flux|Flux Beambox Pro 50W|Grabadora LA|grabadora y cortadora láser",,,
"FLSUN T1",30.01,Flsun,simple,,"Características|Características > Delta|Características > Alta Velocidad|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento","Flsun|Flsun Super Race|Flsun Super Race (SR)|Super Race",,,
"FLSUN S1",40.5,Flsun,simple,,"Características|Características > Delta|Características > Alta Velocidad|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento","Flsun|Flsun Super Race|Flsun Super Race (SR)|Super Race",,,
"Two Trees SK1",40.5,"Two Trees",simple,,"Características|Características > Core XY|Características > Alta Velocidad|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento",,,,
"Resina Prizma 3D Model 2.0 Arena 1kg",1.5,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Resina Prizma 3D Model 2.0 Morado 1kg",1.5,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Resina Prizma 3D Bio Denture Rosa Medio 500g",1.5,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Resina Prizma 3D Bio Prov A2 500g",1.5,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Resina Prizma 3D Wide Beige 1Kg",1.5,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Resina Prizma 3D Wide Gris 1Kg",1.5,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Colorante Prizma 3D Pigmento Negro 50ml",0.5,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Colorante Prizma 3D Pigmento Amarillo 50ml",0.5,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Colorante Prizma 3D Pigmento Cyan 50ml",0.5,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Colorante Prizma 3D Pigmento Magenta 50ml",0.5,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Colorante Prizma 3D Pigmento Blanco 50ml",0.5,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"RESINA BLUECAST X-ONE V2 500g",1.5,BlueCast,simple,,"Aplicaciones|Aplicaciones > Joyería|Resinas|Resinas > Casteable",,,,
"ANYCUBIC WASH AND CURE 3 PLUS",24,Anycubic,simple,,"Impresoras 3D|Impresoras 3D > Postprocesado",,,,
"Elegoo Jupiter SE",72.03,Elegoo,simple,,"Características|Características > LCD|Impresoras 3D|Impresoras 3D > Resina","Elegoo|Elegoo Saturn 2|impresora 3D|Saturn 2",,,
"Purificador de Aire Elegoo",1.5,Elegoo,simple,,"Upgrades|Upgrades > Accesorios","Anycubic|Anycubic AirPure|Purificador de Aire",,,
"Shining 3D AccuFab-L4D",24,"Shining 3D",simple,,"Características|Características > LCD|Impresoras 3D|Impresoras 3D > Resina|Impresoras 3D > Dental",,,,
"Tanque de Resina Accufab",5,"Shining 3D",simple,,"Repuestos|Repuestos > Tanques",,,,
"Plataforma de Impresión Cerámica Accufab",5,"Shining 3D",simple,,"Repuestos|Repuestos > Plataformas",,,,
"Primer Gris Vallejo 200ml",0.5,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Primer Negro Vallejo 200ml",0.5,Vallejo,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
"Kit de Aerógrafo",3,"Krear 3D",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Hotend Completo M5",1.5,AnkerMake,simple,,"Repuestos|Repuestos > Hotends",,,,
"Boquilla de Alta Velocidad 0.4mm",0.1,Creality,simple,,"Repuestos|Repuestos > Boquillas",,,,
"Boquilla de Alta Velocidad 0.6mm",0.1,Creality,simple,,"Repuestos|Repuestos > Boquillas",,,,
"Resina Prizma 3D Bio Tray Azul 250g",1.5,"Prizma 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas",,,,
"Pintura GC Amarillo 18ml",0.1,Vallejo,simple,,"Upgrades|Upgrades > Pinturas",,,,
"Bambu Lab A1 Combo (v2)",24,"Bambu Lab",simple,,"Características|Características > Cartesiana|Características > Alta Velocidad|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento|Impresoras 3D > Ensamblada","Bambu Lab",,,
"Bambu Lab A1 (v2)",24,"Bambu Lab",simple,,"Características|Características > Cartesiana|Características > Alta Velocidad|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento|Impresoras 3D > Ensamblada","Bambu Lab",,,
"Kit de herramientas resina",3,Creality,simple,,"Upgrades|Upgrades > Accesorios","Kit de herramientas resina",,,
"Kit de herramientas FDM",1.5,Creality,simple,,"Upgrades|Upgrades > Accesorios","Kit de herramientas FDM",,,
"Kit de ventiladores para refrigeracion a alta velocidad",3,Creality,simple,,"Upgrades|Upgrades > Accesorios",,,,
"Kit de Guía Lineal",3,Creality,simple,,"Upgrades|Upgrades > Accesorios","Kit de Guía Lineal",,,
"Boquilla MK-ST Bimetálica 0.25mm",0.1,Creality,simple,,"Upgrades|Upgrades > Accesorios",,,,
"Kit de Extracción de Humo",3,Creality,simple,,"Upgrades|Upgrades > Accesorios","Kit de extracción de humos",,,
"Kit de Lámpara LED",3,"Bambu Lab",simple,,"Upgrades|Upgrades > Accesorios","Bambu Lab|Kit de Lámpara LED",,,
"Kit de Mouse Inalámbrico",3,"Bambu Lab",simple,,"Upgrades|Upgrades > Accesorios","Bambu Lab|Kit de Mouse Inalámbrico",,,
"Kit de Circuito de Canicas",3,"Bambu Lab",simple,,"Upgrades|Upgrades > Accesorios","Bambu Lab|Kit de Circuito de Canicas",,,
"Kit de Modelo de Motor",3,"Bambu Lab",simple,,"Upgrades|Upgrades > Accesorios","Bambu Lab|Kit de Modelo de Motor",,,
"Anycubic Photon Mono M5s Pro",40.50,Anycubic,simple,,"Características|Características > LCD|Impresoras 3D|Impresoras 3D > Resina","Anycubic Photon Mono M5s Pro",,,
"Boquilla MK-ST Bimetálica 0.4mm",0.1,Creality,simple,,"Upgrades|Upgrades > Accesorios",,,,
"Boquilla MK-ST Bimetálica 0.6mm",0.1,Creality,simple,,"Upgrades|Upgrades > Accesorios",,,,
"Boquilla MK-ST Bimetálica 0.8mm",0.1,Creality,simple,,"Upgrades|Upgrades > Accesorios",,,,
"Creality K1C",30.01,Creality,simple,,"Características|Características > Core XY|Características > Cerrada|Características > Alta Velocidad|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento|Impresoras 3D > Ensamblada","Creality K1",,,
"Resina Lavable al Agua Gris HD Anycubic 1kg",1.5,Anycubic,simple,,"Resinas|Resinas > Estándar","Resina Lavable al Agua Gris HD Anycubic 1kg",,,
"Resina tipo ABS Pro 2 Gris Anycubic 1KG",1.5,Anycubic,simple,,"Resinas|Resinas > Estándar",,,,
"Resina Estándar Gris HD Anycubic 1kg",1.5,Anycubic,simple,,"Resinas|Resinas > Estándar","Resina Estándar Gris HD Anycubic 1kg",,,
"Tanque de Resina Anycubic Photon Mono M5s",1,Anycubic,simple,,"Repuestos|Repuestos > Tanques",,,,
"Resina Aqua 4K Marfil 1Kg",1.5,Phrozen,simple,,"Aplicaciones|Aplicaciones > Joyería|Aplicaciones > Dental|Resinas|Resinas > Estándar",,,,
"Resina Aqua 8K Arcilla Roja 1Kg",1.5,Phrozen,simple,,"Aplicaciones|Aplicaciones > Joyería|Aplicaciones > Dental|Resinas|Resinas > Estándar","Resina Aqua 8K Arcilla Roja 1Kg",,,
"Resina Aqua 8K Vainilla 1Kg",1.5,Phrozen,simple,,"Aplicaciones|Aplicaciones > Joyería|Aplicaciones > Dental|Resinas|Resinas > Estándar",,,,
"Resina Aqua 8K Gris Nieve 1Kg",1.5,Phrozen,simple,,"Aplicaciones|Aplicaciones > Joyería|Aplicaciones > Dental|Resinas|Resinas > Estándar","Resina Aqua 8K Gris Nieve 1Kg",,,
"Carrito Dental",24,"Krear 3D",simple,,"Escáneres 3D|Escáneres 3D > Dental","Carrito Dental",,,
"Resina PLA Rosada Creality 500g",1.5,Creality,simple,,"Resinas|Resinas > Estándar",,,,
"Resina PLA Morada Creality 500g",1.5,Creality,simple,,"Resinas|Resinas > Estándar",,,,
"Resina PLA Amarilla Creality 500g",1.5,Creality,simple,,"Resinas|Resinas > Estándar",,,,
"Resina PLA Verde Creality 500g",1.5,Creality,simple,,"Resinas|Resinas > Estándar",,,,
"Resina PLA Anaranjada Creality 500g",1.5,Creality,simple,,"Resinas|Resinas > Estándar","Resina curable UV a base de PLA naranja 500g",,,
"Resina PLA blanca Creality 500g",1.5,Creality,simple,,"Resinas|Resinas > Estándar","Resina curable UV a base de PLA naranja 500g",,,
"Resina PLA azul Creality 500g",1.5,Creality,simple,,"Resinas|Resinas > Estándar","Resina curable UV a base de PLA naranja 500g",,,
"Goma líquida DimaFix Pen",0.5,Dimafix,simple,,"Upgrades|Upgrades > Accesorios","Goma líquida DimaFix Pen",,,
"UniFormation GKtwo",24,UniFormation,simple,,"Características|Características > LCD|Impresoras 3D|Impresoras 3D > Resina","UniFormation GKtwo",,,
"UniFormation Ultrasonic Wash",10.01,UniFormation,simple,,"Impresoras 3D|Impresoras 3D > Postprocesado","UniFormation Ultrasonic Wash",,,
"UniFormation Cure",10.01,UniFormation,simple,,"Impresoras 3D|Impresoras 3D > Postprocesado|Repuestos > Hotends",,,,
"Tanque de resina Uniformation GKtwo",3,UniFormation,simple,,"Repuestos|Repuestos > Tanques",,,,
"Film nFEP UniFormation GKtwo",0.5,UniFormation,simple,,"Repuestos|Repuestos > Film FEP",,,,
"LaserPecker LP3",10.01,LaserPecker,simple,,"Cortadoras Láser|Cortadoras Láser > Profesional","LaserPecker LP3",,,
"Accesorio Giratorio LaserPecker LP3",4,LaserPecker,simple,,"Cortadoras Láser|Cortadoras Láser > Accesorios","Accesorio Giratorio LaserPecker LP3",,,
"Set de materiales acero inoxidable para grabado laser x40",3,LaserPecker,simple,,"Upgrades > Materiales|Upgrades",,,,
"12K UPGRADE KIT PARA UNIFORMATION GKTWO",3,UniFormation,simple,,"Upgrades|Upgrades > Accesorios",,,,
"Hotend y Boquilla Acero Inoxidable 0.2mm A1 Series",0.5,"Bambu Lab",simple,,"Repuestos|Repuestos > Hotends","Bambu Lab|Hotend|Hotend con boquilla de 0.2 mm",,,
"Hotend y Boquilla Acero Inoxidable 0.4mm A1 Series",0.5,"Bambu Lab",simple,,"Repuestos|Repuestos > Hotends","Bambu Lab|Hotend|Hotend con boquilla de 0.4 mm",,,
"Hotend y Boquilla Acero Endurecido 0.6mm A1 Series",0.5,"Bambu Lab",simple,,"Repuestos|Repuestos > Hotends","Bambu Lab|Hotend|Hotend con boquilla de 0.6 mm",,,
"Hotend y Boquilla Acero Endurecido 0.8mm A1 Series",0.5,"Bambu Lab",simple,,"Repuestos|Repuestos > Hotends","Bambu Lab|Hotend|Hotend con boquilla de 0.8 mm",,,
"Base Magnética PEI Texturizada 180X180MM Bambu Lab",1.5,"Bambu Lab",simple,,"Upgrades|Upgrades > PEIs","Base Magnética PEI texturizada",,,
"Protector de silicona A1 Bambu Lab",0.1,"Bambu Lab",simple,,"Repuestos|Repuestos > Hotends","Protector de silicona Hotend",,,
"Bambu Lab PETG-CF Negro 1.75mm 1Kg",1.5,"Bambu Lab",simple,,"Filamentos|Filamentos > Reforzado",,,Azul,0|1|0
"Phrozen Sonic Mighty 12K",30.01,Phrozen,simple,,"Características|Características > LCD|Impresoras 3D|Impresoras 3D > Resina","Phrozen|Phrozen Sonic Mighty 12K",,,
"Resina cerámica blanca BASF 500G",1.5,Basf|Phrozen,simple,,"Aplicaciones|Aplicaciones > Ingeniería|Resinas|Resinas > Resistente","Resina cerámica blanca 500 ml|Resina Phrozen",,,
"Kit de Herramientas Resina",3,Phrozen,simple,,"Upgrades|Upgrades > Accesorios","Kit de Post-Procesado",,,
"Phrozen Wash+",24,Phrozen,simple,,"Impresoras 3D|Impresoras 3D > Postprocesado",Phrozen,,,
"Hotend y Boquilla Acero Inoxidable 0.2mm",1.5,"Bambu Lab",simple,,"Repuestos|Repuestos > Hotends","Bambu Lab|Hotend|Hotend y Boquilla Acero Inoxidable 0.2mm",,,
"Sistema de Material Automatico AMS Lite",10.01,"Bambu Lab",simple,,"Upgrades|Upgrades > Accesorios","Bambu Lab|Sistema de Material Automatico AMS Lite",,,
"Resina Aqua transparente plus 1kg",1.5,Phrozen,simple,,"Aplicaciones|Aplicaciones > Joyería|Aplicaciones > Dental|Resinas","Resina Aqua transparente plus 1kg|Resina Phrozen",,,
"Resina Aqua Hiperfina Roja 1kg",1.5,Phrozen,simple,,"Aplicaciones|Aplicaciones > Joyería|Aplicaciones > Dental|Resinas","Resina Aqua transparente plus 1kg|Resina Phrozen",,,
"Resina Aqua Hiperfina Verde 1kg",1.5,Phrozen,simple,,"Aplicaciones|Aplicaciones > Joyería|Aplicaciones > Dental|Resinas|Resinas > Estándar","Resina Aqua Hiperfina Verde 1kg|Resina Phrozen",,,
"Resina Aqua Hiperfina Azul 1kg",1.5,Phrozen,simple,,"Aplicaciones|Aplicaciones > Joyería|Aplicaciones > Dental|Resinas|Resinas > Estándar","Resina Aqua Hiperfina Azul 1kg|Resina Phrozen",,,
"Resina Aqua Hiperfina Morada 1kg",1.5,Phrozen,simple,,"Aplicaciones|Aplicaciones > Joyería|Aplicaciones > Dental|Resinas|Resinas > Estándar","Resina Aqua Hiperfina Morado 1kg|Resina Phrozen",,,
"Resina Aqua Hiperfina Grafito 1kg",1.5,Phrozen,simple,,"Aplicaciones|Aplicaciones > Joyería|Aplicaciones > Dental|Resinas|Resinas > Estándar","Resina Aqua Hiperfina Grafito 1kg|Resina Phrozen",,,
"Resina Retardante de Llama FR940 Gris 1kg",1.5,Phrozen,simple,,"Aplicaciones|Aplicaciones > Ingeniería|Resinas|Resinas > Resistente","Resina FR940 retardante de llama Gris 1kg|Resina Phrozen",,,
