post_title,weight,tax:pwb-brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_color,attribute_data:pa_color
"PolyMax PETG-ESD Negro 1.75mm 500g",1.5,Polymaker,simple,,"Filamentos|Filamentos > PETG",,,Negro,0|1|0
"Polymaker PC-PBT Natural 1.75mm 1Kg",1.5,Polymaker,simple,,"Filamentos|Filamentos > Policarbonato",,,Natural,0|1|0
"Polymaker PC-ABS Blanco 1.75mm 1Kg",1.5,Polymaker,simple,,"Filamentos|Filamentos > Policarbonato",,,Blanco,0|1|0
"PolyMax PC-FR Blanco 1.75mm 1Kg",1.5,Polymaker,simple,,"Filamentos|Filamentos > Policarbonato",,,Blanco,0|1|0
"PolyLite PLA Arcoíris Luminoso 1.75mm 1Kg",1.5,Polymaker,simple,,"Filamentos|Filamentos > PLA|Filamentos > PLA Sedoso",,,Arcoiris,0|1|0
"PolyLite PLA Cromo Sedoso 1.75mm 1Kg",1.5,Polymaker,simple,,"Filamentos|Filamentos > PLA|Filamentos > PLA Sedoso",,,Plata,0|1|0
"PolyLite PLA Verde Gema Sedoso 1.75mm 1Kg",1.5,Polymaker,simple,,"Filamentos|Filamentos > PLA|Filamentos > PLA Sedoso",,,Verde,0|1|0
"PolyTerra PLA Verde Lima 1.75mm 1Kg",1.5,Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Amarillo,0|1|0
"PolyTerra PLA Blanco Frio 1.75mm 1Kg",1.5,Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Blanco,0|1|0
"PolyTerra PLA Morado Frio 1.75mm 1Kg",1.5,Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Morado,0|1|0
"PolyTerra PLA Verde Frio 1.75mm 1Kg",1.5,Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Verde,0|1|0
"PolyTerra PLA Azul Frio 1.75mm 1Kg",1.5,Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Azul,0|1|0
"Polymaker PLA Pack Halloween",5,Polymaker,simple,,"Filamentos|Filamentos > PLA",,,Anaranjado|Luminoso|Morado,0|1|0
"Resina Shining 3D Dental Model DM12 1Kg",1.5,"Shining 3D",simple,,"Aplicaciones|Aplicaciones > Dental|Resinas","Resina Shining 3D Dental Model DM12 1Kg",,,
"Kit Hotend Cerámico K1 Series",0.5,Creality,simple,,"Repuestos|Repuestos > Hotends","Creality|Kit Hotend Cerámico",,,
"Kit Extrusor K1 Series",0.5,Creality,simple,,"Repuestos|Repuestos > Hotends","Creality|Kit de Alto Flujo Creality",,,
"Hotend y Boquilla Acero Endurecido 0.6mm",1.5,"Bambu Lab",simple,,"Repuestos|Repuestos > Hotends","Bambu Lab|Hotend|Hotend y Boquilla Acero Endurecido X1 P1P",,,
"Hotend y Boquilla Acero Endurecido 0.8mm",1.5,"Bambu Lab",simple,,"Repuestos|Repuestos > Hotends","Bambu Lab|Hotend|Hotend y Boquilla Acero Endurecido X1 P1P",,,
"Reductores de vibración Bambu Lab",1.5,"Bambu Lab",simple,,"Repuestos|Repuestos > Plataformas",,,,
"Ventilador Auxiliar Bambu Lab",1.5,"Bambu Lab",simple,,"Repuestos|Repuestos > Ventiladores",,,,
"Termistor y Resistencia P1 Series",0.2,"Bambu Lab",simple,,"Repuestos|Repuestos > Resistencias|Repuestos > Termistores",,,,
"Protector de Silicona Bambu Lab",0.1,"Bambu Lab",simple,,"Repuestos|Repuestos > Hotends",,,,
"Calefactor Cerámico X1 Series",0.1,"Bambu Lab",simple,,"Repuestos|Repuestos > Resistencias","Tubo Calefactor",,,
"Bambu Lab PAHT-CF Negro 1.75mm 0.5Kg",1.5,"Bambu Lab",simple,,"Filamentos|Filamentos > Reforzado",,,Azul,0|1|0
"Bambu Lab PETG-CF Negro 1.75mm 1.0Kg",1.5,"Bambu Lab",simple,,"Filamentos|Filamentos > Reforzado",,,Azul,0|1|0
"Panel Hexagonal para Cortadora Laser 500x500mm",5,Creality,simple,,"Upgrades|Upgrades > Accesorios",,,,
"Film PFA Elegoo 146x195mm",1.5,Elegoo,simple,,"Repuestos|Repuestos > Film FEP",,,,
"Elegoo PHECDA 10W",15,Elegoo,simple,,"Cortadoras Láser|Cortadoras Láser > Diodo","Creality Falcon2 22W",,,
"Elegoo PHECDA 20W",15,Elegoo,simple,,"Cortadoras Láser|Cortadoras Láser > Diodo",,,,
"PolyMide PA6-GF Gris 1.75mm 500g",1.5,Polymaker,simple,,"Filamentos|Filamentos > Reforzado",,,Negro,0|1|0
"Spray para escaneo 3D",1.5,AESUB,simple,,"Escáneres 3D|Escáneres 3D > Accesorios","Bambu Lab|Goma Liquida",,,
"Creality Falcon2 12W",40.5,Creality,simple,,"Cortadoras Láser|Cortadoras Láser > Diodo","Creality Falcon2 22W",,,
"Creality Falcon2 40W",40.5,Creality,simple,,"Cortadoras Láser|Cortadoras Láser > Diodo",,,,
"Revopoint Base Giratoria de Doble Eje",6,Revopoint,simple,,"Escáneres 3D|Escáneres 3D > Accesorios",,,,
"Revopoint Base Giratoria para Personas",10.5,Revopoint,simple,,"Escáneres 3D|Escáneres 3D > Accesorios",,,,
"Revopoint Base Giratoria Portable",6,Revopoint,simple,,"Escáneres 3D|Escáneres 3D > Accesorios",,,,
"Creality CR-10 SE",24,Creality,simple,,"Características|Características > Cartesiana|Características > Alta Velocidad|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento","Creality CR-10 Smart Pro",,,
"Anycubic Kobra 2 Max",40.5,Anycubic,simple,,"Características|Características > Cartesiana|Características > Alta Velocidad|Características > Gran Formato|Impresoras 3D|Impresoras 3D > Filamento","Anycubic Kobra Max",,,
"Anycubic Kobra 2 Pro",24,Anycubic,simple,,"Características|Características > Cartesiana|Características > Alta Velocidad|Impresoras 3D|Impresoras 3D > Filamento","Anycubic Kobra 2 Pro",,,
"Anycubic Kobra 2 Neo",10.01,Anycubic,simple,,"Características|Características > Cartesiana|Impresoras 3D|Impresoras 3D > Filamento","Anycubic Kobra 2 Neo",,,
"Anycubic Kobra 2 Plus",24,Anycubic,simple,,"Características|Características > Cartesiana|Características > Alta Velocidad|Impresoras 3D|Impresoras 3D > Filamento","Anycubic Kobra 2 Plus",,,
"Anycubic Wash and Cure Max",10.01,Anycubic,simple,,"Impresoras 3D|Impresoras 3D > Postprocesado",,,,
"Kit de Pinturas Acrílicas Anycubic",3,Anycubic,simple,,"Upgrades|Upgrades > Pinturas","Kit de Pinturas Acrílicas Anycubic",,,
